Gene_acc,Gene_id,WT1,WT2,WT3,Plus1,Plus2,Plus3,Desc
52,Tb927.8.5900,64406.0,75229.0,64215.0,68554.0,69133.0,69900.0,"Sedlin, N-terminal conserved region, putative"
53,Tb927.10.5500,67785.0,78600.0,74322.0,77514.0,77134.0,75892.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
54,Tb927.7.7010,47871.0,50208.0,45739.0,50294.0,53094.0,51681.0,"LSU ribosomal protein, mitochondrial, putative"
55,Tb927.11.15480,698820.0,772590.0,712930.0,749830.0,756270.0,745910.0,"heat shock protein Hsp20, putative"
56,Tb927.5.3410,86372.0,112040.0,96653.0,114380.0,113590.0,110660.0,Mitochondrial ribosomal protein L9
57,Tb927.9.3290,59997.0,66529.0,59413.0,53993.0,52120.0,46921.0,"4F5 protein family, putative"
58,Tb927.3.1710,27765.0,33292.0,31854.0,37732.0,36547.0,34440.0,mitochondrial ribosomal protein l24
59,Tb927.6.4200,38886.0,46663.0,39703.0,52771.0,51385.0,48481.0,"LSU ribosomal protein, mitochondrial, putative"
60,Tb927.2.6220,31880.0,37153.0,35825.0,82982.0,83081.0,84321.0,"adenosine transporter 2, putative"
61,Tb927.8.5120,141320.0,157480.0,144100.0,175670.0,162960.0,161370.0,cytochrome c
62,Tb927.7.2380,107660.0,115460.0,117800.0,159120.0,167470.0,178690.0,"hypothetical protein, conserved"
63,Tb927.3.2880,218630.0,244470.0,221890.0,187350.0,171990.0,170830.0,"Mitochondrial ATP synthase subunit, putative"
64,Tb927.4.4600,139160.0,159940.0,142230.0,157620.0,156500.0,154920.0,mitochondrial ribosomal protein l43
65,Tb927.9.6710,88009.0,100950.0,91661.0,119140.0,121120.0,112760.0,"kynurenine 3-monooxygenase, putative"
66,Tb927.11.1630,85839.0,101550.0,94388.0,110800.0,116420.0,109030.0,"LSU ribosomal protein, mitochondrial, putative"
67,Tb927.2.5980,1120200.0,1253000.0,1128700.0,1370000.0,1349400.0,1347600.0,"chaperone protein ClpB1, putative"
68,Tb927.8.5860,87499.0,102570.0,94409.0,109560.0,106320.0,106180.0,mitochondrial ribosomal protein L17
69,Tb927.6.4040,93233.0,99293.0,91252.0,105380.0,103490.0,99990.0,mitochondrial ribosomal protein L28
70,Tb11.1810b.1-p1,124760.0,146410.0,125710.0,110410.0,112760.0,111490.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
71,Tb927.10.9390,21887.0,22927.0,21302.0,26501.0,24509.0,27389.0,"Macrocin-O-methyltransferase (TylF), putative"
72,Tb927.4.1810,77569.0,85554.0,80112.0,97217.0,99355.0,95036.0,mitochondrial ribosomal protein L33
73,Tb927.10.260,20078.0,22679.0,22494.0,21120.0,22696.0,23045.0,"BolA-like protein, putative"
74,Tb927.11.15820,68899.0,78083.0,69969.0,74664.0,74750.0,79313.0,"iron superoxide dismutase C, mitochondrial"
75,Tb927.7.3030,138230.0,179310.0,148800.0,165230.0,163410.0,170970.0,"hypothetical protein, conserved"
76,Tb927.9.9100,302950.0,332120.0,318790.0,333970.0,334070.0,315250.0,"hypothetical protein, conserved"
77,Tb927.11.5530,20302.0,24483.0,23140.0,30215.0,29175.0,30613.0,"LSU ribosomal protein, mitochondrial, putative"
78,Tb927.7.3460,164590.0,184920.0,178960.0,206610.0,207400.0,207010.0,"LSU ribosomal protein, mitochondrial, putative"
79,Tb927.9.8290,66449.0,59215.0,58922.0,68354.0,64368.0,66951.0,mitochondrial ribosomal protein l30
80,Tb927.11.5500,216450.0,243150.0,237980.0,246940.0,252440.0,237410.0,"Mitochondrial SSU ribosomal protein, putative"
81,Tb927.5.3110,66030.0,85022.0,66337.0,88357.0,90265.0,89027.0,Mitochondrial ribosomal protein L49
82,Tb927.9.11660,16480.0,18370.0,17578.0,21414.0,22459.0,22131.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
83,Tb927.2.1890,179250.0,203900.0,180310.0,185440.0,181120.0,180520.0,E2-like ubiquitin-conjugation enzyme
84,Tb927.5.3090,202110.0,227740.0,205960.0,171650.0,166780.0,159360.0,"Mitochondrial ATP synthase subunit, putative"
85,Tb927.7.4700,15304.0,15857.0,17815.0,36300.0,33034.0,36069.0,"WD domain, G-beta repeat, putative"
86,Tb927.2.4890,162260.0,191560.0,171450.0,200140.0,192570.0,187680.0,mitochondrial ribosomal protein l11
87,Tb927.10.14860,178820.0,199540.0,194010.0,215130.0,223420.0,215090.0,NADH-ubiquinone oxidoreductase B14 subunit
88,Tb927.11.2235,27868.0,33376.0,31354.0,28450.0,25004.0,26702.0,hypothetical protein
89,Tb927.3.5610,221300.0,250180.0,232730.0,293280.0,289230.0,289370.0,Mitochondrial ribosomal protein L3
90,Tb927.9.15010,196770.0,224080.0,204400.0,234040.0,223850.0,220660.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
91,Tb927.5.3360,28099.0,32127.0,32841.0,35168.0,34192.0,37254.0,mitochondrial ribosomal protein L2
92,Tb927.6.610,74194.0,86131.0,80216.0,92568.0,92511.0,90961.0,kinetoplast ribosomal PPR-repeat containing protein 18
93,Tb927.10.11050,113420.0,125660.0,117280.0,130510.0,136000.0,133770.0,"LSU ribosomal protein, mitochondrial, putative"
94,Tb927.9.12850,12254.0,11631.0,10248.0,14749.0,13282.0,14449.0,Mitoribosomal LSU assembly factor 5
95,Tb927.11.9930,64818.0,71206.0,67020.0,65201.0,65356.0,67216.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
96,Tb927.5.2930,785210.0,888840.0,817590.0,714730.0,696850.0,692280.0,"Mitochondrial ATP synthase subunit, putative"
97,Tb927.10.520,476950.0,551970.0,489130.0,428680.0,420140.0,406900.0,"Mitochondrial ATP synthase subunit, putative"
98,Tb927.8.6090,47521.0,47732.0,48238.0,36591.0,32781.0,37849.0,"ubiquitin-protein ligase, putative"
99,Tb927.10.6370,217800.0,248440.0,216160.0,236960.0,239770.0,236820.0,"60S ribosomal proteins L37, putative"
100,Tb927.7.3430,121030.0,137130.0,128920.0,159930.0,161510.0,157170.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb927.11.10170,73947.0,87877.0,78373.0,95616.0,93791.0,92402.0,Mitochondrial ribosomal protein L20
102,Tb927.6.3140,70908.0,83711.0,78229.0,99760.0,98636.0,103560.0,Ubiquitin-like protein 11
103,Tb927.6.4930,8169.5,9467.7,8472.1,9891.7,9976.5,9477.8,"thiosulfate sulfurtransferase, mitochondrial, putative"
104,Tb927.2.4840,23631.0,27641.0,24734.0,25783.0,25372.0,24548.0,"Vitamin K epoxide reductase family, putative"
105,Tb927.11.16540,96139.0,113900.0,101360.0,97503.0,89427.0,94356.0,"Roadblock/LC7 domain containing protein, putative"
106,Tb927.4.930,47108.0,53464.0,49331.0,59056.0,58797.0,60405.0,Mitochondrial ribosomal protein L14
107,Tb927.6.1990,713740.0,825290.0,724480.0,786020.0,748650.0,759370.0,"hypothetical protein, conserved"
108,Tb927.3.1690,140290.0,164580.0,153980.0,147930.0,144600.0,140560.0,"Mitochondrial ATP synthase subunit, putative"
109,Tb927.7.7380,47703.0,53944.0,49653.0,54452.0,56080.0,57245.0,u6 snrna-associated sm-like protein lsm3
110,Tb927.8.1880,63267.0,76399.0,70703.0,94678.0,95177.0,92597.0,"LSU ribosomal protein, mitochondrial, putative"
111,Tb927.11.15440,110930.0,130460.0,121220.0,124790.0,120770.0,119810.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
112,Tb927.9.7200,31593.0,40453.0,34042.0,34643.0,37082.0,36648.0,"hypothetical protein, conserved"
113,Tb927.11.10950,54531.0,65336.0,58107.0,54440.0,56688.0,57761.0,"DnaJ domain containing protein, putative"
114,Tb927.10.7380,31325.0,35734.0,33157.0,44185.0,39491.0,37283.0,"LSU ribosomal protein, mitochondrial, putative"
115,Tb927.10.14760,263080.0,287320.0,253760.0,259630.0,254870.0,255050.0,"clathrin light chain, putative"
116,Tb927.7.4820,18315.0,20650.0,19777.0,19425.0,19601.0,19722.0,"Trm112p-like protein, putative"
117,Tb927.7.2660,61648.0,71666.0,66038.0,72440.0,72915.0,71631.0,"zinc finger protein family member, putative"
118,Tb927.11.5830,51752.0,57860.0,54759.0,55747.0,56101.0,55654.0,"YL1 nuclear protein, putative"
119,Tb927.10.810,133680.0,144760.0,138800.0,144550.0,146100.0,140210.0,"Pentatricopeptide repeat protein (PPR), putative"
120,Tb927.8.3300,52979.0,63219.0,57999.0,70818.0,73716.0,72580.0,Mitoribosomal LSU assembly factor 12
121,Tb927.10.12250,107350.0,115540.0,109760.0,123400.0,120690.0,121580.0,"hypothetical protein, conserved"
122,Tb927.6.1920,302930.0,345320.0,317550.0,267050.0,264100.0,263280.0,"hypothetical protein, conserved"
123,Tb927.11.15500,23551.0,24140.0,19488.0,22182.0,25393.0,23661.0,"LSU ribosomal protein, mitochondrial, putative"
124,Tb927.10.6090,200610.0,220200.0,202250.0,265370.0,257550.0,254630.0,"tRNA pseudouridine synthase A, putative"
125,Tb927.11.3705,19462.0,25252.0,20510.0,20562.0,21451.0,19265.0,"DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative"
126,Tb927.11.7130,102580.0,118370.0,113270.0,115900.0,110300.0,112550.0,"hypothetical protein, conserved"
127,Tb927.10.12220,44237.0,50120.0,42643.0,48832.0,50455.0,47475.0,"hypothetical protein, conserved"
128,Tb927.8.4920,12285.0,12950.0,13255.0,11538.0,13932.0,13635.0,"hypothetical protein, conserved"
129,Tb927.11.6250,217400.0,248380.0,231680.0,298200.0,281420.0,285880.0,"Mitochondrial ATP synthase subunit, putative"
130,Tb927.7.3910,39592.0,45201.0,41799.0,43397.0,42633.0,43193.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
131,Tb927.7.2490,23350.0,26446.0,27934.0,28198.0,26640.0,28684.0,kinetoplast ribosomal PPR-repeat containing protein 15
132,Tb927.11.5990,164250.0,210950.0,184710.0,209640.0,198140.0,198610.0,Mitoribosomal LSU assembly factor 4
133,Tb927.11.6520,16047.0,16669.0,15178.0,15562.0,16550.0,15516.0,"hypothetical protein, conserved"
134,Tb927.10.2800,58507.0,64144.0,59412.0,61518.0,63223.0,58652.0,mitochondrial ribosomal protein s6
135,Tb927.9.3350,63920.0,70664.0,68683.0,71653.0,71747.0,71513.0,"pseudouridylate synthase, putative"
136,Tb927.11.3780,1865.0,1242.9,1590.3,1498.5,1734.5,2098.2,subtilisin peptidase
137,Tb427.BES122.9,51263.0,57535.0,49990.0,34402.0,32374.0,38093.0,none
138,Tb927.2.2410,27924.0,30718.0,28578.0,31103.0,32711.0,33321.0,"hypothetical protein, conserved"
139,Tb927.8.5280,75687.0,129050.0,85312.0,88578.0,88992.0,85141.0,mitochondrial ribosomal protein s34
140,Tb927.11.7680,34144.0,36371.0,33386.0,36626.0,39981.0,38562.0,"hypothetical protein, conserved"
141,Tb927.8.2530,30714.0,34015.0,32931.0,35166.0,32133.0,34519.0,"Cytochrome c oxidase copper chaperone, related"
142,Tb927.7.3960,74803.0,83759.0,78938.0,92904.0,89639.0,90949.0,Mitochondrial ribosomal protein L16
143,Tb927.9.15190,724150.0,922230.0,765190.0,687950.0,717770.0,724990.0,"ribosomal protein L15, putative"
144,Tb927.2.3920,19528.0,20590.0,20119.0,21946.0,21481.0,19386.0,"Complex 1 protein (LYR family), putative"
145,Tb927.5.2810,93506.0,107800.0,102710.0,115760.0,105540.0,108850.0,"hypothetical protein, conserved"
146,Tb927.6.4560,124240.0,141100.0,130130.0,157910.0,150510.0,153260.0,"Mitochondrial SSU ribosomal protein, putative"
147,Tb11.v5.0905,150720.0,163970.0,156680.0,263940.0,267870.0,266080.0,"hypothetical protein, conserved"
148,Tb927.11.11480,827150.0,944550.0,829910.0,847700.0,814030.0,811200.0,"Trichohyalin, putative"
149,Tb927.9.8000,481000.0,543520.0,497330.0,439370.0,430960.0,426600.0,"ubiquitin-protein ligase, putative"
150,Tb927.11.13007,1520300.0,1831200.0,1619100.0,1373900.0,1338100.0,1402100.0,ubiquitin-60S ribosomal protein L40
151,Tb927.9.7080,102630.0,119930.0,100920.0,129760.0,127820.0,131640.0,"hypothetical protein, conserved"
152,Tb927.9.11120,100720.0,114910.0,106780.0,107800.0,113810.0,110110.0,"Chromosome passenger complex (CPC) protein INCENP N terminal, putative"
153,Tb927.11.7430,103930.0,120620.0,107150.0,109860.0,104030.0,113930.0,"hypothetical protein, conserved"
154,Tb927.3.860,136360.0,149080.0,144660.0,123520.0,129270.0,126530.0,"Acyl carrier protein, mitochondrial"
155,Tb927.6.4510,113410.0,129990.0,116730.0,141320.0,144000.0,136020.0,"hypothetical protein, conserved"
156,Tb927.1.1200,138430.0,157180.0,150270.0,149550.0,154350.0,154680.0,Mitochondrial ribosomal protein S15
157,Tb927.8.5560,216120.0,248600.0,236240.0,229880.0,233940.0,350670.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
158,Tb927.10.2670,34624.0,34869.0,37827.0,35594.0,36118.0,35344.0,"hypothetical protein, conserved"
159,Tb927.6.2910,39682.0,43916.0,43386.0,37720.0,40131.0,38453.0,"RNA pseudouridylate synthase, putative"
160,Tb927.3.2390,72989.0,84726.0,76382.0,93020.0,87663.0,89875.0,"hypothetical protein, conserved"
161,Tb927.3.5240,103150.0,114350.0,105270.0,131900.0,131480.0,128560.0,kinetoplast ribosomal PPR-repeat containing protein 8
162,Tb927.10.11520,31811.0,35014.0,34894.0,37280.0,38078.0,38678.0,mitochondrial import inner membrane translocase subunit tim13
163,Tb927.10.13110,70728.0,86837.0,78613.0,80009.0,77426.0,72859.0,Outer arm dynein light chain 7
164,Tb927.7.7480,1586.2,2285.4,2127.1,1989.8,1416.2,1694.2,"trans-sialidase, putative"
165,Tb927.9.5300,104870.0,114310.0,104150.0,127290.0,125120.0,125290.0,kinetoplast ribosomal PPR-repeat containing protein 16
166,Tb927.9.9780,845160.0,891730.0,847120.0,855470.0,853100.0,826060.0,"peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative"
167,Tb927.5.370,57470.0,67620.0,63436.0,211400.0,204390.0,201730.0,"75 kDa invariant surface glycoprotein, putative"
168,Tb927.8.1340,1357900.0,1537100.0,1382500.0,1364900.0,1349000.0,1322500.0,"60S ribosomal protein L7a, putative"
169,Tb927.5.2940,2570600.0,2852100.0,2573700.0,2875500.0,2802800.0,2772800.0,"stress-induced protein sti1, putative"
170,Tb927.11.1270,340580.0,377630.0,357970.0,300380.0,296080.0,287700.0,"Mitochondrial ATP synthase subunit, putative"
171,Tb927.9.1530,46731.0,55498.0,53899.0,60551.0,61938.0,62977.0,"hypothetical protein, conserved"
172,Tb927.3.4950,114770.0,137460.0,125500.0,164610.0,164120.0,150370.0,"hypothetical protein, conserved"
173,Tb927.11.13940,22058.0,30392.0,23447.0,24344.0,22482.0,22742.0,"ubiquitin-conjugating enzyme E2, putative"
174,Tb927.10.2050,75099.0,87358.0,79554.0,89776.0,91136.0,87894.0,"hypothetical protein, conserved"
175,Tb927.10.9250,493590.0,545850.0,502070.0,513250.0,511080.0,496350.0,"adenylyl cyclase-associated protein, putative"
176,Tb927.5.3300,14443.0,19744.0,17671.0,15525.0,15263.0,17055.0,"hypothetical protein, conserved"
177,Tb927.4.4710,62634.0,68476.0,62013.0,63323.0,63612.0,65230.0,"hypothetical protein, conserved"
178,Tb927.10.13990,30360.0,34856.0,34204.0,50193.0,48022.0,49264.0,"Pentatricopeptide repeat protein (PPR), putative"
179,Tb927.11.715,495920.0,578840.0,507120.0,458870.0,450530.0,456090.0,"dynein light chain LC8, putative"
180,Tb927.1.1390,46534.0,58503.0,52322.0,49596.0,45821.0,45605.0,"hypothetical protein, conserved"
181,Tb927.10.15410,176130.0,202170.0,177730.0,129150.0,132000.0,133610.0,glycosomal malate dehydrogenase
182,Tb927.11.11470,80266.0,88308.0,86731.0,91495.0,94667.0,90596.0,kinetoplast ribosomal PPR-repeat containing protein 14
183,Tb927.11.4650,46181.0,48602.0,45706.0,52710.0,50602.0,50830.0,kinetoplast ribosomal PPR-repeat containing protein 13
184,Tb927.8.595,54678.0,64173.0,59439.0,51945.0,55638.0,55414.0,hypothetical protein
185,Tb927.7.4060,543720.0,609170.0,561910.0,702030.0,686530.0,660840.0,"cysteine peptidase, Clan CA, family C2, putative"
186,Tb927.3.4360,416230.0,485050.0,428830.0,429570.0,414270.0,414220.0,"40S ribosomal protein S15A, putative"
187,Tb927.1.2990,206020.0,235180.0,224290.0,245910.0,250020.0,239560.0,kinetoplast ribosomal PPR-repeat containing protein 2
188,Tb927.5.1790,47520.0,53832.0,52421.0,45842.0,48122.0,48344.0,"Mitochondrial SSU ribosomal protein, putative"
189,Tb927.9.9310,99844.0,106430.0,105300.0,98272.0,101550.0,97398.0,Mitoribosomal SSU assembly factor 3
190,Tb927.8.3110,70902.0,77308.0,77945.0,73556.0,75527.0,76956.0,Mitochondrial ribosomal protein S9
191,Tb927.9.9150,36340.0,40145.0,38187.0,43634.0,41888.0,41349.0,Mitoribosomal LSU assembly factor 13
192,Tb927.11.13570,218430.0,234090.0,241440.0,217770.0,234100.0,209340.0,"hypothetical protein, conserved"
193,Tb927.11.12930,56523.0,68765.0,62458.0,69993.0,69795.0,71495.0,Mitoribosomal LSU assembly factor 2
194,Tb927.5.3310,74993.0,92673.0,79577.0,99192.0,92568.0,101670.0,"hypothetical protein, conserved"
195,Tb927.5.1200,13933.0,14633.0,14296.0,46145.0,43761.0,41195.0,exosome complex component CSL4
196,Tb927.9.9260,51497.0,59851.0,59449.0,62498.0,60933.0,61406.0,"hypothetical protein, conserved"
197,Tb927.11.590,50980.0,59282.0,56039.0,68012.0,68998.0,64959.0,"hypothetical protein, conserved"
198,Tb927.10.12010,134860.0,213120.0,146480.0,146500.0,151390.0,136450.0,"hypothetical protein, conserved"
199,Tb927.6.2480,26999.0,30536.0,25157.0,34428.0,29166.0,30330.0,"chaperone protein DnaJ, putative"
200,Tb927.8.980,989820.0,1110500.0,987160.0,1025500.0,1038600.0,1007800.0,phosphoacetylglucosamine mutase
201,Tb927.10.7080,75742.0,84704.0,79622.0,72091.0,77923.0,79488.0,"ATP-dependent DEAD/H RNA helicase, putative"
202,Tb927.6.1630,72785.0,64320.0,59491.0,53938.0,62776.0,55968.0,"hypothetical protein, conserved"
203,Tb927.11.640,1128.9,1498.8,1301.1,1358.2,1703.6,2021.2,"Pentatricopeptide repeat protein (PPR), putative"
204,Tb927.10.6300,169310.0,197560.0,175960.0,180100.0,176180.0,184340.0,Mitochondrial ribosomal protein S5
205,Tb927.6.2700,100600.0,112730.0,98251.0,109090.0,107040.0,110650.0,small nuclear ribonucleoprotein Sm-E
206,Tb927.10.7910,103580.0,125570.0,109920.0,123840.0,127300.0,120920.0,"RNA editing complex protein, putative"
207,Tb927.10.9830,579010.0,644240.0,589650.0,557450.0,537770.0,526000.0,"Mitochondrial ATP synthase subunit, putative"
208,Tb927.5.4370,12311.0,12423.0,12617.0,15348.0,14095.0,13981.0,"hypothetical protein, conserved"
209,Tb927.11.7214,35620.0,40667.0,39652.0,43117.0,44696.0,42480.0,Mitoribosomal SSU assembly factor 13
210,Tb927.11.2220,106480.0,110650.0,96763.0,114870.0,106510.0,110920.0,Mitoribosomal SSU assembly factor 17
211,Tb927.4.970,32844.0,33805.0,33256.0,38059.0,36767.0,37299.0,"hypothetical protein, conserved"
212,Tb927.10.13540,103160.0,116130.0,102260.0,116440.0,115520.0,117890.0,"RNA-binding protein, putative"
213,Tb927.10.380,67093.0,80493.0,69633.0,75145.0,77454.0,73855.0,kinetoplast ribosomal PPR-repeat containing protein 5
214,Tb927.11.15030,207130.0,238950.0,216600.0,247760.0,235030.0,231770.0,small GTPase
215,Tb927.10.5030,320800.0,361090.0,334320.0,354520.0,335220.0,339600.0,"ubiquitin/ribosomal protein S27a, putative"
216,Tb927.5.3340,10028.0,8974.7,9334.9,9776.5,9648.5,9520.6,Mitochondrial import inner membrane translocase subunit 11
217,Tb927.10.6850,29795.0,32700.0,35467.0,27259.0,27938.0,28300.0,"Mitochondrial ribosomal protein S18, putative"
218,Tb927.6.2080,11805.0,11501.0,9409.9,10925.0,11048.0,11480.0,"Mitochondrial SSU ribosomal protein, putative"
219,Tb927.5.3640,90905.0,100170.0,92425.0,98145.0,96809.0,94446.0,"Mitochondrial SSU ribosomal protein, putative"
220,Tb927.4.680,22259.0,23945.0,20420.0,23060.0,24746.0,23939.0,"hypothetical protein, conserved"
221,Tb927.9.6510,133800.0,153980.0,139910.0,165270.0,168710.0,167680.0,"Mitochondrial SSU ribosomal protein, putative"
222,Tb927.9.7160,102740.0,119820.0,103790.0,104980.0,99386.0,93471.0,"hypothetical protein, conserved"
223,Tb927.6.590,50650.0,58692.0,55586.0,45712.0,44769.0,45607.0,"hypothetical protein, conserved"
224,Tb927.8.6760,1056600.0,1100200.0,1076900.0,1142700.0,1173800.0,1091900.0,"translationally-controlled tumor protein homolog, putative"
225,Tb927.11.7920,58015.0,62101.0,62945.0,67560.0,67975.0,66878.0,SUMO-interacting motif-containing protein
226,Tb927.10.5090,47570.0,55786.0,52253.0,36094.0,37107.0,36957.0,Enriched in surface-labeled proteome protein 18
